log_avg_ept_score,log_avg_succ_req,log_avg_blk_req,log_avg_BP_req,log_avg_entropy
20,510,490,0.49,2.2981626291275026
48,524,476,0.476,2.298080562114716
8,504,496,0.496,2.298125380754471
16,508,492,0.492,2.2981104555130005
56,528,472,0.472,2.2981843128204344
44,522,478,0.478,2.298229476690292
76,538,462,0.462,2.2982139263153076
98,549,451,0.451,2.2983768887519838
88,544,456,0.456,2.2984438803195952
42,521,479,0.479,2.2984455115795135
42,521,479,0.479,2.298445913553238
16,508,492,0.492,2.298482241630554
48,524,476,0.476,2.2984847445487975
44,522,478,0.478,2.298542622804642
86,543,457,0.457,2.2984218447208407
62,531,469,0.469,2.2985878343582153
14,507,493,0.493,2.298475890636444
10,505,495,0.495,2.2986483108997344
14,507,493,0.493,2.298549285888672
72,536,464,0.464,2.298566285610199
48,524,476,0.476,2.2986032519340514
16,508,492,0.492,2.298673440694809
74,537,463,0.463,2.298721832513809
16,508,492,0.492,2.298700670480728
44,522,478,0.478,2.298745379924774
20,510,490,0.49,2.2985463099479677
8,504,496,0.496,2.2986837677955627
62,531,469,0.469,2.2987684626579283
66,533,467,0.467,2.2986416344642637
26,513,487,0.487,2.2986856904029844
-16,492,508,0.508,2.298764927148819
14,507,493,0.493,2.2987423918247223
-2,499,501,0.501,2.298684025287628
80,540,460,0.46,2.2986799025535585
90,545,455,0.455,2.298626435995102
16,508,492,0.492,2.298488673686981
62,531,469,0.469,2.2986083109378814
-44,478,522,0.522,2.2987070076465606
70,535,465,0.465,2.2986137857437132
36,518,482,0.482,2.2984686431884764
76,538,462,0.462,2.298486851930618
72,536,464,0.464,2.2984379787445066
46,523,477,0.477,2.2982300584316255
8,504,496,0.496,2.2984171617031097
48,524,476,0.476,2.2984621722698213
62,531,469,0.469,2.298245736837387
66,533,467,0.467,2.2982337601184843
46,523,477,0.477,2.297988942146301
46,523,477,0.477,2.2978817274570464
42,521,479,0.479,2.2981566495895387
44,522,478,0.478,2.2980128931999206
36,518,482,0.482,2.2979387202262878
108,554,446,0.446,2.2977998051643374
46,523,477,0.477,2.2978506891727446
34,517,483,0.483,2.29764262843132
134,567,433,0.433,2.2975955209732057
30,515,485,0.485,2.2975781064033507
22,511,489,0.489,2.2975533514022826
62,531,469,0.469,2.2973841593265534
66,533,467,0.467,2.2972902224063874
68,534,466,0.466,2.2973834459781646
10,505,495,0.495,2.2973207628726957
88,544,456,0.456,2.297269346475601
30,515,485,0.485,2.2970372660160066
62,531,469,0.469,2.2970893154144285
50,525,475,0.475,2.2970637204647066
74,537,463,0.463,2.2968260352611543
66,533,467,0.467,2.2968544571399687
64,532,468,0.468,2.296892695426941
88,544,456,0.456,2.2968234210014344
102,551,449,0.449,2.29648451590538
60,530,470,0.47,2.2966372718811034
124,562,438,0.438,2.296219263792038
90,545,455,0.455,2.2964301414489747
98,549,451,0.451,2.2957571234703065
92,546,454,0.454,2.29581769323349
96,548,452,0.452,2.2959785771369936
-28,486,514,0.514,2.295804962396622
52,526,474,0.474,2.295397975921631
68,534,466,0.466,2.295290249586105
98,549,451,0.451,2.295259145259857
66,533,467,0.467,2.2950487606525423
6,503,497,0.497,2.29470268368721
60,530,470,0.47,2.2945807008743286
76,538,462,0.462,2.2942226111888884
48,524,476,0.476,2.294474813938141
64,532,468,0.468,2.2936774506568907
82,541,459,0.459,2.2936999163627623
90,545,455,0.455,2.2937301342487335
56,528,472,0.472,2.2934135880470277
72,536,464,0.464,2.292768227338791
106,553,447,0.447,2.292784163236618
102,551,449,0.449,2.2924285576343535
40,520,480,0.48,2.2924133253097536
74,537,463,0.463,2.29219855260849
36,518,482,0.482,2.2915980389118196
142,571,429,0.429,2.2911034967899324
170,585,415,0.415,2.2914042129516603
66,533,467,0.467,2.2908229007720946
90,545,455,0.455,2.29080841255188
142,571,429,0.429,2.2897929632663727
122,561,439,0.439,2.289631249666214
106,553,447,0.447,2.2892431521415713
70,535,465,0.465,2.289388458967209
12,506,494,0.494,2.2882653858661652
30,515,485,0.485,2.288174961090088
122,561,439,0.439,2.2876574325561525
162,581,419,0.419,2.287250414609909
130,565,435,0.435,2.2862985651493073
132,566,434,0.434,2.2857970643043517
62,531,469,0.469,2.2856834478378296
96,548,452,0.452,2.285163771390915
104,552,448,0.448,2.2836405434608458
64,532,468,0.468,2.28356426525116
116,558,442,0.442,2.2826965227127074
82,541,459,0.459,2.283114142179489
186,593,407,0.407,2.280556490898132
38,519,481,0.481,2.28037065243721
156,578,422,0.422,2.2797655079364776
128,564,436,0.436,2.279503999710083
128,564,436,0.436,2.277362294435501
74,537,463,0.463,2.2761509928703307
186,593,407,0.407,2.2767001941204073
152,576,424,0.424,2.2761721920967104
140,570,430,0.43,2.2721882951259613
172,586,414,0.414,2.272829078912735
104,552,448,0.448,2.2716323115825654
138,569,431,0.431,2.27223077750206
158,579,421,0.421,2.2675168612003325
148,574,426,0.426,2.2671968739032744
136,568,432,0.432,2.2677702667713167
148,574,426,0.426,2.2671954944133756
170,585,415,0.415,2.2617000830173493
166,583,417,0.417,2.261470150947571
212,606,394,0.394,2.260511229991913
172,586,414,0.414,2.260448113441467
122,561,439,0.439,2.2566464354991913
204,602,398,0.398,2.254371147632599
158,579,421,0.421,2.2540152604579924
158,579,421,0.421,2.252645166635513
116,558,442,0.442,2.2480553517341613
142,571,429,0.429,2.2482869527339937
156,578,422,0.422,2.245485683679581
180,590,410,0.41,2.244603852510452
190,595,405,0.405,2.2394900691509245
218,609,391,0.391,2.239169517993927
214,607,393,0.393,2.2360504627227784
162,581,419,0.419,2.234962818145752
196,598,402,0.402,2.2286516230106352
216,608,392,0.392,2.2288193616867065
178,589,411,0.411,2.2222125191688535
236,618,382,0.382,2.2219203877449036
186,593,407,0.407,2.214510430574417
212,606,394,0.394,2.2127775883674623
216,608,392,0.392,2.2068295323848726
256,628,372,0.372,2.204972763299942
230,615,385,0.385,2.1996867189407348
252,626,374,0.374,2.1976426348686218
210,605,395,0.395,2.1886677827835084
182,591,409,0.409,2.1844364280700685
272,636,364,0.364,2.1802788956165315
242,621,379,0.379,2.1796785554885862
226,613,387,0.387,2.1647603598833083
190,595,405,0.405,2.163517474889755
244,622,378,0.378,2.1581600091457367
260,630,370,0.37,2.155934995174408
254,627,373,0.373,2.1381742916107176
298,649,351,0.351,2.1364556155204775
254,627,373,0.373,2.1314862611293792
290,645,355,0.355,2.1264924159049987
240,620,380,0.38,2.101796915769577
258,629,371,0.371,2.095408283352852
318,659,341,0.341,2.0984848874807356
282,641,359,0.359,2.0938253722190856
352,676,324,0.324,2.061709018230438
290,645,355,0.355,2.0619718796014785
350,675,325,0.325,2.056523434281349
296,648,352,0.352,2.055591325521469
298,649,351,0.351,2.0176626951694487
362,681,319,0.319,2.0188931729793547
328,664,336,0.336,2.016156585693359
334,667,333,0.333,2.009809583902359
338,669,331,0.331,1.9607440251111985
326,663,337,0.337,1.9551091606616975
382,691,309,0.309,1.9563254165649413
412,706,294,0.294,1.945310131907463
398,699,301,0.301,1.8925096906423569
400,700,300,0.3,1.8856026445627212
378,689,311,0.311,1.874202651977539
416,708,292,0.292,1.8665442049503327
370,685,315,0.315,1.8055008401870727
470,735,265,0.265,1.799421070575714
496,748,252,0.252,1.7799253903627397
446,723,277,0.277,1.7612693767547607
482,741,259,0.259,1.701913768529892
432,716,284,0.284,1.6920268391370774
462,731,269,0.269,1.6514252815246582
508,754,246,0.246,1.644677054643631
576,788,212,0.212,1.5806187512874603
544,772,228,0.228,1.5658983917236329
460,730,270,0.27,1.5064289671182634
526,763,237,0.237,1.4972041201591493
598,799,201,0.201,1.4243896477222442
492,746,254,0.254,1.4094535330533982
630,815,185,0.185,1.3402855331897736
616,808,192,0.192,1.322225830078125
566,783,217,0.217,1.2444956722855567
676,838,162,0.162,1.2393630911111833
666,833,167,0.167,1.1572824141383171
654,827,173,0.173,1.1337170890569688
628,814,186,0.186,1.0769732955098152
636,818,182,0.182,1.0719465367794037
640,820,180,0.18,0.9816652050614357
640,820,180,0.18,0.9660756816864013
652,826,174,0.174,0.9250190572142601
704,852,148,0.148,0.9174952854514122
674,837,163,0.163,0.8266320424675941
662,831,169,0.169,0.8045620245337486
738,869,131,0.131,0.7752981851100922
678,839,161,0.161,0.7697893252372742
714,857,143,0.143,0.678522583603859
718,859,141,0.141,0.6696150408089161
722,861,139,0.139,0.645104672640562
742,871,129,0.129,0.6452579456567764
726,863,137,0.137,0.5850051819086075
638,819,181,0.181,0.5648317385911942
736,868,132,0.132,0.561333145737648
726,863,137,0.137,0.5579377819001675
724,862,138,0.138,0.5136998762190342
712,856,144,0.144,0.5078314352929593
708,854,146,0.146,0.5081543414592743
758,879,121,0.121,0.5121385887265205
756,878,122,0.122,0.46962187615036965
748,874,126,0.126,0.4653184476792812
710,855,145,0.145,0.46196932962536813
730,865,135,0.135,0.4611586550474167
708,854,146,0.146,0.43755593067407605
730,865,135,0.135,0.4383412939310074
768,884,116,0.116,0.4387705175876617
710,855,145,0.145,0.4315134890973568
762,881,119,0.119,0.41322514590620996
676,838,162,0.162,0.41443769162893296
754,877,123,0.123,0.4089987682253122
746,873,127,0.127,0.407157523393631
720,860,140,0.14,0.3922783323824406
748,874,126,0.126,0.3952720227688551
740,870,130,0.13,0.3932196274101734
700,850,150,0.15,0.39109154614806174
702,851,149,0.149,0.390677560120821
776,888,112,0.112,0.39510843670368195
668,834,166,0.166,0.38021205833554267
782,891,109,0.109,0.3883355111181736
752,876,124,0.124,0.3789292372316122
700,850,150,0.15,0.37434922386705877
704,852,148,0.148,0.36470739722251894
768,884,116,0.116,0.36799245730787516
724,862,138,0.138,0.3591084841787815
808,904,96,0.096,0.3568788632303476
756,878,122,0.122,0.34416361114382743
754,877,123,0.123,0.3434098289757967
806,903,97,0.097,0.3363672348111868
730,865,135,0.135,0.3262174578458071
734,867,133,0.133,0.31906854604184626
772,886,114,0.114,0.31423855051398275
746,873,127,0.127,0.3098581668883562
768,884,116,0.116,0.3162926071882248
726,863,137,0.137,0.31357546636462214
784,892,108,0.108,0.308883115708828
730,865,135,0.135,0.304794899135828
746,873,127,0.127,0.30367013016343114
710,855,145,0.145,0.30208410073816777
764,882,118,0.118,0.30427225272357467
776,888,112,0.112,0.3047228789776564
750,875,125,0.125,0.300546620875597
732,866,134,0.134,0.2962221226543188
702,851,149,0.149,0.29409367340803144
824,912,88,0.088,0.2952552959024906
782,891,109,0.109,0.29441824071109296
790,895,105,0.105,0.28798839314281943
770,885,115,0.115,0.28800338992476465
784,892,108,0.108,0.2906349612921476
696,848,152,0.152,0.284832898914814
732,866,134,0.134,0.27705711947381495
734,867,133,0.133,0.27884157972037793
764,882,118,0.118,0.27919410371780395
752,876,124,0.124,0.2813566686362028
754,877,123,0.123,0.2821109227091074
728,864,136,0.136,0.283726075053215
732,866,134,0.134,0.28136436216533184
708,854,146,0.146,0.2862463701218367
770,885,115,0.115,0.28767158555984496
750,875,125,0.125,0.28751419119536875
726,863,137,0.137,0.29214612866938117
710,855,145,0.145,0.2919393866956234
696,848,152,0.152,0.29079356995224953
730,865,135,0.135,0.2944077826142311
784,892,108,0.108,0.29399602971971034
780,890,110,0.11,0.29053526800870894
758,879,121,0.121,0.2858403081893921
726,863,137,0.137,0.2853201878070831
772,886,114,0.114,0.2799539103358984
768,884,116,0.116,0.27509137661755084
782,891,109,0.109,0.2767529614120722
696,848,152,0.152,0.2720295107960701
826,913,87,0.087,0.2712791909724474
754,877,123,0.123,0.27132080143690107
738,869,131,0.131,0.2633203081488609
780,890,110,0.11,0.26588583520054815
732,866,134,0.134,0.25608222037553785
762,881,119,0.119,0.25744773280620575
734,867,133,0.133,0.25595499931275845
772,886,114,0.114,0.2612921365201473
658,829,171,0.171,0.253023532576859
706,853,147,0.147,0.25908143919706345
768,884,116,0.116,0.2610369652360678
760,880,120,0.12,0.2610639761686325
742,871,129,0.129,0.2625780042111874
728,864,136,0.136,0.266828618735075
772,886,114,0.114,0.26386051467061045
758,879,121,0.121,0.2586609487384558
778,889,111,0.111,0.2584060033708811
746,873,127,0.127,0.2588692228198051
780,890,110,0.11,0.2588345618247986
726,863,137,0.137,0.2577962096631527
764,882,118,0.118,0.24928801764547825
776,888,112,0.112,0.24976881678402424
782,891,109,0.109,0.24884792962670327
668,834,166,0.166,0.2449100935906172
800,900,100,0.1,0.2479774933308363
714,857,143,0.143,0.2398797621279955
790,895,105,0.105,0.23895647691190242
730,865,135,0.135,0.2370910836607218
772,886,114,0.114,0.23706210477650166
804,902,98,0.098,0.23345845302194357
800,900,100,0.1,0.23274005742371082
788,894,106,0.106,0.23076269041001796
758,879,121,0.121,0.22755329464375973
740,870,130,0.13,0.2246076985746622
758,879,121,0.121,0.22034879023581744
786,893,107,0.107,0.22359244590997696
750,875,125,0.125,0.21937439396977423
692,846,154,0.154,0.2224654175788164
752,876,124,0.124,0.22331329890340568
802,901,99,0.099,0.2268169867694378
778,889,111,0.111,0.220276958912611
746,873,127,0.127,0.22186232950538398
754,877,123,0.123,0.2192729350551963
748,874,126,0.126,0.21875447662174702
768,884,116,0.116,0.21919886063039304
772,886,114,0.114,0.2236744259297848
740,870,130,0.13,0.21622445407509805
772,886,114,0.114,0.2128837655186653
778,889,111,0.111,0.2148952566385269
706,853,147,0.147,0.2129249740242958
714,857,143,0.143,0.2167960297912359
758,879,121,0.121,0.21579414655268192
758,879,121,0.121,0.21774274742603303
776,888,112,0.112,0.2207191952317953
730,865,135,0.135,0.22091398575901985
658,829,171,0.171,0.22052453452348708
722,861,139,0.139,0.21966698591411113
806,903,97,0.097,0.2227204133272171
770,885,115,0.115,0.2254681732803583
822,911,89,0.089,0.22741930231451987
730,865,135,0.135,0.21877142842113972
770,885,115,0.115,0.2243740060031414
720,860,140,0.14,0.21783524859696626
698,849,151,0.151,0.21523188880085944
776,888,112,0.112,0.217438048645854
766,883,117,0.117,0.21842956079542636
766,883,117,0.117,0.217121464535594
734,867,133,0.133,0.21302416837215424
770,885,115,0.115,0.21317629498243332
760,880,120,0.12,0.21332300472259522
774,887,113,0.113,0.21097258257865906
770,885,115,0.115,0.2051872119009495
764,882,118,0.118,0.20354344541579486
768,884,116,0.116,0.20252570483088495
738,869,131,0.131,0.19740564166754485
760,880,120,0.12,0.1982894634604454
748,874,126,0.126,0.20186939581483604
698,849,151,0.151,0.19702869598567485
792,896,104,0.104,0.2027364688962698
704,852,148,0.148,0.19801830084621908
708,854,146,0.146,0.19798188124597071
744,872,128,0.128,0.203918212659657
718,859,141,0.141,0.20227467491477727
754,877,123,0.123,0.2006715388149023
694,847,153,0.153,0.20495137687772513
752,876,124,0.124,0.2069945417791605
740,870,130,0.13,0.20598971910774708
778,889,111,0.111,0.2070771759301424
738,869,131,0.131,0.20511242135614158
670,835,165,0.165,0.20670742593705654
746,873,127,0.127,0.20699159080535173
718,859,141,0.141,0.2054572272002697
788,894,106,0.106,0.20888782174885273
756,878,122,0.122,0.20912979497015477
792,896,104,0.104,0.21058923171460628
714,857,143,0.143,0.20941734010726212
776,888,112,0.112,0.20536913409829138
788,894,106,0.106,0.20698988904058932
762,881,119,0.119,0.19884178832173346
786,893,107,0.107,0.20407466075569392
788,894,106,0.106,0.19622688408195973
696,848,152,0.152,0.19384311654418707
800,900,100,0.1,0.1959152777493
738,869,131,0.131,0.19118100595474244
752,876,124,0.124,0.19228080711513756
732,866,134,0.134,0.18963189037889241
788,894,106,0.106,0.19039973837137222
716,858,142,0.142,0.1867291412577033
754,877,123,0.123,0.18623596921563149
794,897,103,0.103,0.18517552337050439
730,865,135,0.135,0.18377353585511447
760,880,120,0.12,0.18486991476267575
730,865,135,0.135,0.18365838573873042
742,871,129,0.129,0.18556518852710724
774,887,113,0.113,0.18064613301306964
826,913,87,0.087,0.18853507927805185
738,869,131,0.131,0.1816302618458867
752,876,124,0.124,0.18289152341336012
732,866,134,0.134,0.17921719851344825
808,904,96,0.096,0.1829723259434104
792,896,104,0.104,0.18290250436216593
778,889,111,0.111,0.1827958828806877
736,868,132,0.132,0.17774315686523914
804,902,98,0.098,0.17579973639547825
712,856,144,0.144,0.1748366484194994
748,874,126,0.126,0.17850233867019416
706,853,147,0.147,0.17603390430659055
730,865,135,0.135,0.17564537313580514
750,875,125,0.125,0.17549551694840193
810,905,95,0.095,0.17357183507829904
714,857,143,0.143,0.17694437811523675
748,874,126,0.126,0.17583277772367
718,859,141,0.141,0.17849337358772754
720,860,140,0.14,0.17796146017313003
712,856,144,0.144,0.17877068772166968
776,888,112,0.112,0.18113720758259297
800,900,100,0.1,0.18112811677157878
754,877,123,0.123,0.17957172826305032
716,858,142,0.142,0.17820900781452656
788,894,106,0.106,0.18166259126365183
762,881,119,0.119,0.17695747634768486
790,895,105,0.105,0.17358434343338014
794,897,103,0.103,0.17444773935526608
712,856,144,0.144,0.1713578368499875
796,898,102,0.102,0.1654157267063856
798,899,101,0.101,0.16589629139751197
804,902,98,0.098,0.16285277099907397
776,888,112,0.112,0.16427877166867255
724,862,138,0.138,0.15729608689248561
754,877,123,0.123,0.1573968702107668
758,879,121,0.121,0.158235896833241
754,877,123,0.123,0.15679188992083073
814,907,93,0.093,0.15961283741891383
804,902,98,0.098,0.16294533094763755
760,880,120,0.12,0.15720377338677644
780,890,110,0.11,0.15908475868403912
800,900,100,0.1,0.15891316936910152
788,894,106,0.106,0.15779725700616837
784,892,108,0.108,0.1556961784735322
738,869,131,0.131,0.15654603987932206
698,849,151,0.151,0.15298923575133086
780,890,110,0.11,0.15348317734152078
806,903,97,0.097,0.15248537679761648
808,904,96,0.096,0.15544321437925102
756,878,122,0.122,0.1513063651099801
730,865,135,0.135,0.1491643015369773
786,893,107,0.107,0.15434102194011212
750,875,125,0.125,0.1528844399675727
736,868,132,0.132,0.15428597941994668
788,894,106,0.106,0.15421966810524462
776,888,112,0.112,0.15604980452358722
718,859,141,0.141,0.1542241171821952
744,872,128,0.128,0.15774463129788638
706,853,147,0.147,0.1574777361303568
694,847,153,0.153,0.1625546898469329
722,861,139,0.139,0.16128036411106586
790,895,105,0.105,0.16492624673247339
756,878,122,0.122,0.16516128448396922
766,883,117,0.117,0.16370406463742257
760,880,120,0.12,0.16871692525595428
764,882,118,0.118,0.16425047352164984
778,889,111,0.111,0.16688726866990328
740,870,130,0.13,0.16235798675566912
758,879,121,0.121,0.16565923042595387
732,866,134,0.134,0.16498520565778016
704,852,148,0.148,0.16201857594400645
674,837,163,0.163,0.16580105985701085
776,888,112,0.112,0.1644241417348385
792,896,104,0.104,0.16728527776151897
742,871,129,0.129,0.1658927779495716
802,901,99,0.099,0.16642040993273258
746,873,127,0.127,0.16354823058843612
838,919,81,0.081,0.16218563981354236
756,878,122,0.122,0.1619878983795643
772,886,114,0.114,0.16009418025612832
696,848,152,0.152,0.15627313548326494
750,875,125,0.125,0.15506517654657365
698,849,151,0.151,0.15703292064368723
744,872,128,0.128,0.15688739504665136
712,856,144,0.144,0.15797072315216065
766,883,117,0.117,0.16025643356889485
794,897,103,0.103,0.16078693015873433
692,846,154,0.154,0.15946173316985368
762,881,119,0.119,0.16088107398897408
804,902,98,0.098,0.1576450155377388
740,870,130,0.13,0.15805805346369745
748,874,126,0.126,0.1555142100825906
744,872,128,0.128,0.1575451967641711
758,879,121,0.121,0.1532451974079013
766,883,117,0.117,0.1564739554002881
756,878,122,0.122,0.15349959175288677
748,874,126,0.126,0.15318267170339822
760,880,120,0.12,0.15149005111306907
706,853,147,0.147,0.14947039799392223
802,901,99,0.099,0.15019236256182195
762,881,119,0.119,0.14823678663372994
800,900,100,0.1,0.14752007702738046
770,885,115,0.115,0.14843104362487794
758,879,121,0.121,0.14781113371998073
760,880,120,0.12,0.14745451539754867
758,879,121,0.121,0.1432804041802883
756,878,122,0.122,0.142840821929276
756,878,122,0.122,0.14380407698452471
770,885,115,0.115,0.14092287856340407
706,853,147,0.147,0.14349243389815092
790,895,105,0.105,0.14450762775540352
760,880,120,0.12,0.14131777273118495
782,891,109,0.109,0.14376302518323064
816,908,92,0.092,0.14151941861212253
808,904,96,0.096,0.14223801513016224
734,867,133,0.133,0.13711244691163302
754,877,123,0.123,0.1380699657946825
696,848,152,0.152,0.13991819158941507
700,850,150,0.15,0.13812050759792327
802,901,99,0.099,0.14087712097913027
798,899,101,0.101,0.13755561511218548
750,875,125,0.125,0.13704096010327338
780,890,110,0.11,0.14038208663463592
814,907,93,0.093,0.13942938040196895
762,881,119,0.119,0.13783698888868093
792,896,104,0.104,0.13753283452242612
760,880,120,0.12,0.14050038100033999
748,874,126,0.126,0.13691765048354865
722,861,139,0.139,0.13556817386299372
762,881,119,0.119,0.1396944392323494
738,869,131,0.131,0.13853387589007615
806,903,97,0.097,0.13758331996947526
718,859,141,0.141,0.1385299345999956
750,875,125,0.125,0.14041815016418696
750,875,125,0.125,0.13649967455118894
772,886,114,0.114,0.13737252072244882
724,862,138,0.138,0.13578770879656077
830,915,85,0.085,0.13453055128455163
750,875,125,0.125,0.13423643013834954
782,891,109,0.109,0.13516939916461707
712,856,144,0.144,0.13295667531341315
752,876,124,0.124,0.13217776265740394
798,899,101,0.101,0.13274625896662473
724,862,138,0.138,0.13267001317441462
744,872,128,0.128,0.13264727401733398
746,873,127,0.127,0.13276788455992938
760,880,120,0.12,0.13224408616125582
764,882,118,0.118,0.1312484117820859
718,859,141,0.141,0.13215262296795846
780,890,110,0.11,0.13387196685373784
760,880,120,0.12,0.1328132211342454
788,894,106,0.106,0.1330143099501729
790,895,105,0.105,0.13330838312208654
692,846,154,0.154,0.1320892838984728
790,895,105,0.105,0.12980440454930067
808,904,96,0.096,0.13088193562626838
732,866,134,0.134,0.1300723511725664
754,877,123,0.123,0.13008143281936646
780,890,110,0.11,0.1332011515274644
764,882,118,0.118,0.12936863002181054
772,886,114,0.114,0.1309439580142498
774,887,113,0.113,0.12958676272630693
726,863,137,0.137,0.12655240070074797
762,881,119,0.119,0.12802995397895575
810,905,95,0.095,0.12772800362110137
798,899,101,0.101,0.1275686706677079
812,906,94,0.094,0.12532529378682375
784,892,108,0.108,0.12247225689142942
748,874,126,0.126,0.1219861465394497
742,871,129,0.129,0.12044327433407306
770,885,115,0.115,0.1227589717656374
718,859,141,0.141,0.12095320251584053
746,873,127,0.127,0.12149977211654187
726,863,137,0.137,0.121431749984622
756,878,122,0.122,0.12268823893368244
764,882,118,0.118,0.12388112818449735
782,891,109,0.109,0.1275422186255455
770,885,115,0.115,0.1250156784504652
790,895,105,0.105,0.12891652949899435
716,858,142,0.142,0.12769001933932306
750,875,125,0.125,0.13062976643443108
772,886,114,0.114,0.1296668541133404
802,901,99,0.099,0.13235693561285733
754,877,123,0.123,0.12813073436170816
746,873,127,0.127,0.1305427777543664
734,867,133,0.133,0.12905546552687883
776,888,112,0.112,0.1302105518952012
770,885,115,0.115,0.12959943232685328
776,888,112,0.112,0.1291757854819298
738,869,131,0.131,0.1243602102175355
764,882,118,0.118,0.12678956677019596
770,885,115,0.115,0.12270224246382713
782,891,109,0.109,0.12156613878905773
744,872,128,0.128,0.12265878486633301
760,880,120,0.12,0.12182047744095326
780,890,110,0.11,0.11833775933086872
738,869,131,0.131,0.12019265872985124
804,902,98,0.098,0.11792900589853525
782,891,109,0.109,0.12339297968149185
760,880,120,0.12,0.11974089238792658
782,891,109,0.109,0.1202562030106783
690,845,155,0.155,0.11895931980386376
736,868,132,0.132,0.12154005759954453
722,861,139,0.139,0.11867310555279255
756,878,122,0.122,0.1188232289776206
782,891,109,0.109,0.12065793012827634
824,912,88,0.088,0.11984644638746977
750,875,125,0.125,0.11711530864983798
786,893,107,0.107,0.11693332162499427
764,882,118,0.118,0.11497228432446718
766,883,117,0.117,0.11228291200846434
722,861,139,0.139,0.11197640061751007
838,919,81,0.081,0.11336854584887623
760,880,120,0.12,0.11098230504989624
802,901,99,0.099,0.11045253116637468
732,866,134,0.134,0.10949168116599321
806,903,97,0.097,0.10926152954995633
780,890,110,0.11,0.10862478832527996
676,838,162,0.162,0.10809620149433613
764,882,118,0.118,0.10792586429417134
768,884,116,0.116,0.10692566361278295
832,916,84,0.084,0.10998691841214896
760,880,120,0.12,0.10806439388170838
