log_avg_ept_score,log_avg_succ_req,log_avg_blk_req,log_avg_BP_req,log_avg_entropy
22,511,489,0.489,2.3016512773036957
-14,493,507,0.507,2.3016549077033996
60,530,470,0.47,2.301649892568588
64,532,468,0.468,2.301636605262756
84,542,458,0.458,2.3016325895786287
44,522,478,0.478,2.301636734724045
54,527,473,0.473,2.301633782148361
48,524,476,0.476,2.3016422979831694
-2,499,501,0.501,2.301641016244888
26,513,487,0.487,2.30163108420372
78,539,461,0.461,2.3016280891895295
70,535,465,0.465,2.3016370956897734
32,516,484,0.484,2.301629405975342
-2,499,501,0.501,2.3016284193992615
44,522,478,0.478,2.3016326994895935
16,508,492,0.492,2.301627133607864
62,531,469,0.469,2.301625860214233
46,523,477,0.477,2.3016250422000883
-14,493,507,0.507,2.301622782945633
54,527,473,0.473,2.3016196610927584
58,529,471,0.471,2.301619935274124
52,526,474,0.474,2.3016042964458467
26,513,487,0.487,2.301615823984146
14,507,493,0.493,2.301608697414398
54,527,473,0.473,2.301612088441849
108,554,446,0.446,2.3016051988601687
50,525,475,0.475,2.3016099488735198
26,513,487,0.487,2.301612133026123
24,512,488,0.488,2.3016056389808655
88,544,456,0.456,2.301599863767624
24,512,488,0.488,2.3016167595386503
60,530,470,0.47,2.3016011781692507
86,543,457,0.457,2.301581798791885
84,542,458,0.458,2.301607519388199
64,532,468,0.468,2.30159509062767
-12,494,506,0.506,2.301601052045822
60,530,470,0.47,2.301596606016159
72,536,464,0.464,2.3015800528526307
74,537,463,0.463,2.3015831363201142
90,545,455,0.455,2.30157417011261
98,549,451,0.451,2.3015757389068603
58,529,471,0.471,2.3015840406417847
42,521,479,0.479,2.301569451570511
54,527,473,0.473,2.301586178779602
22,511,489,0.489,2.301577754497528
44,522,478,0.478,2.301574687004089
4,502,498,0.498,2.301577913284302
72,536,464,0.464,2.3015727784633637
120,560,440,0.44,2.3015631759166717
98,549,451,0.451,2.3015579817295073
50,525,475,0.475,2.301564951181412
28,514,486,0.486,2.3015610632896424
-2,499,501,0.501,2.3015512242317198
20,510,490,0.49,2.3015497868061066
46,523,477,0.477,2.301551004886627
52,526,474,0.474,2.301555973529816
-2,499,501,0.501,2.3015509877204896
62,531,469,0.469,2.301541806936264
44,522,478,0.478,2.301556694030762
40,520,480,0.48,2.3015481231212616
10,505,495,0.495,2.30153999710083
-10,495,505,0.505,2.3015464878082277
70,535,465,0.465,2.3015282802581787
58,529,471,0.471,2.301535621881485
28,514,486,0.486,2.3015369434356687
52,526,474,0.474,2.3015278475284577
84,542,458,0.458,2.301530831336975
-8,496,504,0.504,2.3015232100486753
48,524,476,0.476,2.3015160534381867
50,525,475,0.475,2.301513943195343
64,532,468,0.468,2.3015118186473846
24,512,488,0.488,2.3015070838928224
110,555,445,0.445,2.3015055277347565
22,511,489,0.489,2.301507300376892
64,532,468,0.468,2.3014965698719023
8,504,496,0.496,2.301490796327591
46,523,477,0.477,2.301489867210388
82,541,459,0.459,2.3014939761161806
48,524,476,0.476,2.301473371744156
8,504,496,0.496,2.301485997438431
50,525,475,0.475,2.3014741945266723
44,522,478,0.478,2.30148254776001
12,506,494,0.494,2.3014849472045897
40,520,480,0.48,2.301459968328476
24,512,488,0.488,2.3014729912281036
44,522,478,0.478,2.3014554882049563
74,537,463,0.463,2.301453179597855
54,527,473,0.473,2.3014458963871003
50,525,475,0.475,2.3014505734443667
12,506,494,0.494,2.3014550087451933
52,526,474,0.474,2.301448406219482
72,536,464,0.464,2.301445391893387
44,522,478,0.478,2.301437633275986
40,520,480,0.48,2.3014463574886324
48,524,476,0.476,2.3014322607517244
12,506,494,0.494,2.301426076889038
44,522,478,0.478,2.3014345662593843
122,561,439,0.439,2.3014091277122497
12,506,494,0.494,2.30142307806015
84,542,458,0.458,2.301396505355835
74,537,463,0.463,2.3013960897922514
36,518,482,0.482,2.3014071731567385
46,523,477,0.477,2.3014128949642183
32,516,484,0.484,2.3014031662940977
66,533,467,0.467,2.3014049351215364
94,547,453,0.453,2.3013889167308808
38,519,481,0.481,2.301389801979065
64,532,468,0.468,2.301382950782776
64,532,468,0.468,2.301384569168091
66,533,467,0.467,2.301392633676529
70,535,465,0.465,2.3013798263072966
94,547,453,0.453,2.301358743429184
28,514,486,0.486,2.3013502840995788
80,540,460,0.46,2.3013613867759704
46,523,477,0.477,2.301348376750946
20,510,490,0.49,2.3013587288856505
64,532,468,0.468,2.3013355700969695
54,527,473,0.473,2.3013210084438325
70,535,465,0.465,2.301345989704132
18,509,491,0.491,2.301317619085312
72,536,464,0.464,2.3013377122879026
80,540,460,0.46,2.301336660861969
16,508,492,0.492,2.301318428993225
58,529,471,0.471,2.3013099246025086
50,525,475,0.475,2.3013083562850953
52,526,474,0.474,2.3013046424388888
92,546,454,0.454,2.3012776556015013
4,502,498,0.498,2.301274297475815
136,568,432,0.432,2.301270707130432
20,510,490,0.49,2.3012844069004057
32,516,484,0.484,2.301276329278946
18,509,491,0.491,2.3012623088359834
30,515,485,0.485,2.3012761554718018
26,513,487,0.487,2.301260219335556
34,517,483,0.483,2.301249922513962
52,526,474,0.474,2.3012368202209474
84,542,458,0.458,2.3012427597045897
14,507,493,0.493,2.301221350193024
70,535,465,0.465,2.3012292516231536
82,541,459,0.459,2.3011987590789795
16,508,492,0.492,2.3012226719856264
70,535,465,0.465,2.3012106413841247
68,534,466,0.466,2.301214751243591
64,532,468,0.468,2.3011985960006713
24,512,488,0.488,2.301196378707886
20,510,490,0.49,2.3011985993385315
14,507,493,0.493,2.3011715366840364
88,544,456,0.456,2.3011785695552827
46,523,477,0.477,2.3011581661701204
74,537,463,0.463,2.301162041902542
6,503,497,0.497,2.301164326429367
98,549,451,0.451,2.301167733669281
22,511,489,0.489,2.3011483330726623
8,504,496,0.496,2.301170781612396
76,538,462,0.462,2.3011186118125915
68,534,466,0.466,2.3011176149845123
6,503,497,0.497,2.3011292552948
84,542,458,0.458,2.301129205942154
42,521,479,0.479,2.30110364151001
70,535,465,0.465,2.3011131119728088
96,548,452,0.452,2.3011086709499358
90,545,455,0.455,2.30108319234848
98,549,451,0.451,2.301067243337631
42,521,479,0.479,2.3010795567035673
32,516,484,0.484,2.3010734779834747
90,545,455,0.455,2.3010471365451814
84,542,458,0.458,2.3010570657253266
96,548,452,0.452,2.301032084941864
56,528,472,0.472,2.301030595064163
26,513,487,0.487,2.3010347537994384
68,534,466,0.466,2.3010127222537995
56,528,472,0.472,2.300998365163803
70,535,465,0.465,2.301014363527298
6,503,497,0.497,2.300997580289841
58,529,471,0.471,2.300961074590683
34,517,483,0.483,2.30096200299263
48,524,476,0.476,2.300973243236542
30,515,485,0.485,2.300977530002594
30,515,485,0.485,2.3009528603553773
108,554,446,0.446,2.3009556376934053
80,540,460,0.46,2.300902798652649
60,530,470,0.47,2.3009471335411074
60,530,470,0.47,2.30090905046463
70,535,465,0.465,2.30092120718956
14,507,493,0.493,2.300928079843521
60,530,470,0.47,2.3009143702983854
104,552,448,0.448,2.300855685710907
58,529,471,0.471,2.3008690536022187
22,511,489,0.489,2.300877050638199
8,504,496,0.496,2.3008957250118254
42,521,479,0.479,2.300912155866623
8,504,496,0.496,2.3008410172462463
96,548,452,0.452,2.300860327243805
98,549,451,0.451,2.3008129880428316
60,530,470,0.47,2.3007873582839964
32,516,484,0.484,2.3007848250865934
54,527,473,0.473,2.3008149547576906
24,512,488,0.488,2.3008065180778505
42,521,479,0.479,2.3007780232429504
62,531,469,0.469,2.3007826855182647
58,529,471,0.471,2.300753560781479
48,524,476,0.476,2.3007555720806123
100,550,450,0.45,2.300717495441437
106,553,447,0.447,2.3007485492229462
20,510,490,0.49,2.3007772762775422
64,532,468,0.468,2.300743439912796
24,512,488,0.488,2.300717293024063
86,543,457,0.457,2.300717942237854
144,572,428,0.428,2.3007086148262026
56,528,472,0.472,2.3007191746234894
74,537,463,0.463,2.3007076659202577
16,508,492,0.492,2.300675894021988
92,546,454,0.454,2.3006852707862855
18,509,491,0.491,2.3006647338867188
2,501,499,0.499,2.3006181621551516
96,548,452,0.452,2.3006231286525725
76,538,462,0.462,2.300614740371704
86,543,457,0.457,2.300642319202423
100,550,450,0.45,2.30066401386261
70,535,465,0.465,2.3005997228622435
48,524,476,0.476,2.300610806941986
74,537,463,0.463,2.300632137298584
48,524,476,0.476,2.3005843217372894
46,523,477,0.477,2.300573208093643
34,517,483,0.483,2.3005732107162475
64,532,468,0.468,2.300537323474884
62,531,469,0.469,2.3005303263664247
80,540,460,0.46,2.300524841070175
76,538,462,0.462,2.3005544428825377
62,531,469,0.469,2.300532102584839
22,511,489,0.489,2.300438075304031
12,506,494,0.494,2.3004988725185394
96,548,452,0.452,2.300484217405319
100,550,450,0.45,2.3005076076984405
38,519,481,0.481,2.300438633441925
120,560,440,0.44,2.3004552371501923
-26,487,513,0.513,2.3004293320178983
46,523,477,0.477,2.3004190785884857
80,540,460,0.46,2.3004331254959105
50,525,475,0.475,2.300422200679779
112,556,444,0.444,2.3004243614673614
32,516,484,0.484,2.300369465827942
110,555,445,0.445,2.3003576061725615
102,551,449,0.449,2.3003411722183227
28,514,486,0.486,2.3003050410747528
54,527,473,0.473,2.300358050107956
62,531,469,0.469,2.3002693197727204
86,543,457,0.457,2.3002701551914213
26,513,487,0.487,2.300327581644058
38,519,481,0.481,2.3002927134037017
60,530,470,0.47,2.3002226943969726
62,531,469,0.469,2.3002787346839906
132,566,434,0.434,2.3002879164218903
88,544,456,0.456,2.300228313922882
60,530,470,0.47,2.30014408159256
38,519,481,0.481,2.3001990048885346
86,543,457,0.457,2.300176315546036
14,507,493,0.493,2.300126972913742
76,538,462,0.462,2.300135003566742
24,512,488,0.488,2.3001270923614503
132,566,434,0.434,2.300101573228836
44,522,478,0.478,2.3000183663368223
2,501,499,0.499,2.3001139771938326
62,531,469,0.469,2.3000995604991914
-2,499,501,0.501,2.300041951417923
50,525,475,0.475,2.3000489382743834
76,538,462,0.462,2.2999918546676636
84,542,458,0.458,2.3000035271644594
52,526,474,0.474,2.3000086135864257
82,541,459,0.459,2.299994692802429
116,558,442,0.442,2.299912645816803
76,538,462,0.462,2.299947415113449
78,539,461,0.461,2.299857836008072
104,552,448,0.448,2.299866022109985
26,513,487,0.487,2.2998425183296205
44,522,478,0.478,2.299820696592331
6,503,497,0.497,2.2998086304664613
60,530,470,0.47,2.299835376739502
56,528,472,0.472,2.299882808923721
16,508,492,0.492,2.2997974169254305
94,547,453,0.453,2.299871537446976
18,509,491,0.491,2.299679206609726
40,520,480,0.48,2.2998263239860535
44,522,478,0.478,2.2997629082202913
94,547,453,0.453,2.299647271633148
36,518,482,0.482,2.2996537928581238
44,522,478,0.478,2.2996716690063477
64,532,468,0.468,2.299608472108841
10,505,495,0.495,2.2995989980697633
92,546,454,0.454,2.2996247012615205
82,541,459,0.459,2.29965220284462
62,531,469,0.469,2.2995640654563902
54,527,473,0.473,2.2995804834365843
74,537,463,0.463,2.299541804075241
98,549,451,0.451,2.299403945684433
74,537,463,0.463,2.2994971945285796
82,541,459,0.459,2.2994788284301757
70,535,465,0.465,2.299437221288681
94,547,453,0.453,2.299399906158447
76,538,462,0.462,2.299429476737976
112,556,444,0.444,2.2993565170764922
118,559,441,0.441,2.2993160622119904
124,562,438,0.438,2.299173063993454
22,511,489,0.489,2.29931928896904
64,532,468,0.468,2.2992759778499603
34,517,483,0.483,2.2992857534885407
40,520,480,0.48,2.2992300539016726
56,528,472,0.472,2.2992459049224854
76,538,462,0.462,2.299171630382538
-4,498,502,0.502,2.299194457054138
150,575,425,0.425,2.299117492198944
84,542,458,0.458,2.2990681729316713
60,530,470,0.47,2.2990456500053407
114,557,443,0.443,2.299071739196777
52,526,474,0.474,2.299040500164032
96,548,452,0.452,2.2989763576984403
52,526,474,0.474,2.2990272731781007
72,536,464,0.464,2.298962511062622
4,502,498,0.498,2.2989490540027617
122,561,439,0.439,2.2990202147960663
46,523,477,0.477,2.298914776802063
64,532,468,0.468,2.2989007160663606
48,524,476,0.476,2.2988372893333433
70,535,465,0.465,2.298871556043625
60,530,470,0.47,2.2987960374355314
94,547,453,0.453,2.2987409353256227
112,556,444,0.444,2.2988349549770355
78,539,461,0.461,2.2987261028289794
86,543,457,0.457,2.298662608385086
54,527,473,0.473,2.2986393520832062
92,546,454,0.454,2.298506317853928
72,536,464,0.464,2.2986417915821074
-22,489,511,0.511,2.2986167047023773
70,535,465,0.465,2.2984012582302094
74,537,463,0.463,2.2986676845550535
56,528,472,0.472,2.2985868480205536
52,526,474,0.474,2.298407432079315
134,567,433,0.433,2.298490884065628
84,542,458,0.458,2.298417549610138
48,524,476,0.476,2.2985096232891085
36,518,482,0.482,2.2983054332733155
80,540,460,0.46,2.298464377641678
132,566,434,0.434,2.2984430363178254
84,542,458,0.458,2.2983304355144503
56,528,472,0.472,2.298254032611847
18,509,491,0.491,2.2980804862976076
74,537,463,0.463,2.298191072463989
48,524,476,0.476,2.2981360867023466
122,561,439,0.439,2.2981874783039093
30,515,485,0.485,2.298071133375168
50,525,475,0.475,2.2981113092899323
62,531,469,0.469,2.298020127773285
110,555,445,0.445,2.297934823989868
96,548,452,0.452,2.2977641949653624
12,506,494,0.494,2.2978575897216795
58,529,471,0.471,2.297920460700989
66,533,467,0.467,2.297852327346802
82,541,459,0.459,2.297852162599564
46,523,477,0.477,2.297726320743561
70,535,465,0.465,2.297749852180481
96,548,452,0.452,2.2977179911136627
104,552,448,0.448,2.2976671512126923
78,539,461,0.461,2.297642022371292
14,507,493,0.493,2.297588865995407
96,548,452,0.452,2.2974173107147218
38,519,481,0.481,2.2975317766666414
80,540,460,0.46,2.2975314924716947
90,545,455,0.455,2.2975944130420687
90,545,455,0.455,2.2973924362659455
76,538,462,0.462,2.2970649275779724
52,526,474,0.474,2.297373078107834
34,517,483,0.483,2.2974023377895354
106,553,447,0.447,2.297138669013977
48,524,476,0.476,2.2970087065696716
112,556,444,0.444,2.2970790832042693
54,527,473,0.473,2.2970605030059814
108,554,446,0.446,2.296917832374573
124,562,438,0.438,2.2969172878265383
156,578,422,0.422,2.296787009000778
74,537,463,0.463,2.2967904365062712
92,546,454,0.454,2.29682497382164
28,514,486,0.486,2.296737389802933
122,561,439,0.439,2.2968082809448243
100,550,450,0.45,2.2968739042282103
86,543,457,0.457,2.2967934255599975
68,534,466,0.466,2.296612440109253
16,508,492,0.492,2.2961261777877806
100,550,450,0.45,2.2964255974292755
100,550,450,0.45,2.2963704471588136
46,523,477,0.477,2.2965018651485445
94,547,453,0.453,2.2963139865398405
48,524,476,0.476,2.2961162807941435
152,576,424,0.424,2.2959623980522155
100,550,450,0.45,2.296149582862854
116,558,442,0.442,2.296024903535843
42,521,479,0.479,2.296269788980484
50,525,475,0.475,2.295903999567032
94,547,453,0.453,2.2958434710502624
74,537,463,0.463,2.2954965353012087
10,505,495,0.495,2.2957561731338503
56,528,472,0.472,2.295683485984802
112,556,444,0.444,2.295368190288544
10,505,495,0.495,2.2958323497772217
70,535,465,0.465,2.295703911781311
80,540,460,0.46,2.295464512825012
76,538,462,0.462,2.295154108762741
104,552,448,0.448,2.295427247285843
116,558,442,0.442,2.295323347568512
-4,498,502,0.502,2.2950721373558043
16,508,492,0.492,2.2950652151107787
116,558,442,0.442,2.2952720358371734
144,572,428,0.428,2.295067744255066
86,543,457,0.457,2.2947912745475767
82,541,459,0.459,2.294783525466919
26,513,487,0.487,2.2946667025089265
50,525,475,0.475,2.2946695501804353
154,577,423,0.423,2.294238505125046
104,552,448,0.448,2.2946090779304504
72,536,464,0.464,2.294492529153824
112,556,444,0.444,2.2945939366817476
152,576,424,0.424,2.2942075815200806
76,538,462,0.462,2.294501885175705
44,522,478,0.478,2.2942915241718294
106,553,447,0.447,2.294151280164719
128,564,436,0.436,2.293863648891449
194,597,403,0.403,2.2935192077159883
80,540,460,0.46,2.293920349597931
126,563,437,0.437,2.294034708023071
102,551,449,0.449,2.2934209084510804
130,565,435,0.435,2.2933707654476168
128,564,436,0.436,2.2933844068050386
100,550,450,0.45,2.29315536570549
46,523,477,0.477,2.2930975155830384
72,536,464,0.464,2.2930504126548765
80,540,460,0.46,2.2928540658950807
74,537,463,0.463,2.29253754401207
96,548,452,0.452,2.2925065302848817
72,536,464,0.464,2.2925467581748964
120,560,440,0.44,2.2922539072036745
124,562,438,0.438,2.2924354617595673
92,546,454,0.454,2.291651644706726
154,577,423,0.423,2.292081112384796
80,540,460,0.46,2.2919342150688173
124,562,438,0.438,2.2919378950595855
58,529,471,0.471,2.2917714445590973
86,543,457,0.457,2.2917328572273252
110,555,445,0.445,2.291523204565048
94,547,453,0.453,2.2910619547367097
74,537,463,0.463,2.291543752670288
108,554,446,0.446,2.291049179315567
90,545,455,0.455,2.2911855959892273
118,559,441,0.441,2.291070811033249
104,552,448,0.448,2.29066925239563
36,518,482,0.482,2.2907084057331084
86,543,457,0.457,2.2907361612319947
130,565,435,0.435,2.2902501757144926
94,547,453,0.453,2.290471213102341
92,546,454,0.454,2.290414775133133
62,531,469,0.469,2.290132828235626
46,523,477,0.477,2.289832111120224
70,535,465,0.465,2.289956053972244
66,533,467,0.467,2.289576315641403
50,525,475,0.475,2.2891054129600525
38,519,481,0.481,2.2894585914611816
116,558,442,0.442,2.2891403374671935
90,545,455,0.455,2.289185814142227
92,546,454,0.454,2.289169712781906
84,542,458,0.458,2.2892531526088713
100,550,450,0.45,2.289114884376526
128,564,436,0.436,2.2885026288032533
64,532,468,0.468,2.28852716588974
136,568,432,0.432,2.288141031742096
88,544,456,0.456,2.2884904959201813
94,547,453,0.453,2.288004714012146
140,570,430,0.43,2.2879735555648804
78,539,461,0.461,2.287889021873474
104,552,448,0.448,2.287834648370743
96,548,452,0.452,2.287180166721344
108,554,446,0.446,2.28739923620224
124,562,438,0.438,2.2867408215999605
84,542,458,0.458,2.286614888191223
76,538,462,0.462,2.286845757007599
46,523,477,0.477,2.2866070382595063
104,552,448,0.448,2.2855162591934204
84,542,458,0.458,2.2864304702281952
140,570,430,0.43,2.2859025070667265
240,620,380,0.38,2.285396470785141
152,576,424,0.424,2.285614837408066
130,565,435,0.435,2.2851700706481934
148,574,426,0.426,2.2844308342933655
164,582,418,0.418,2.2848158781528474
136,568,432,0.432,2.2841994712352753
138,569,431,0.431,2.284194202661514
108,554,446,0.446,2.2837965383529664
132,566,434,0.434,2.284111585855484
40,520,480,0.48,2.284000285387039
114,557,443,0.443,2.283810685634613
54,527,473,0.473,2.2830342519283295
148,574,426,0.426,2.2825228343009947
106,553,447,0.447,2.2827268137931824
66,533,467,0.467,2.28248166012764
58,529,471,0.471,2.28245978474617
52,526,474,0.474,2.281774097204208
156,578,422,0.422,2.280780965566635
120,560,440,0.44,2.280908788442612
170,585,415,0.415,2.2800490612983704
106,553,447,0.447,2.2799075417518617
120,560,440,0.44,2.2798597600460053
102,551,449,0.449,2.28010435128212
154,577,423,0.423,2.2798037903308868
74,537,463,0.463,2.2782987174987794
92,546,454,0.454,2.278949502706528
120,560,440,0.44,2.2784765162467955
194,597,403,0.403,2.2788020775318145
122,561,439,0.439,2.277845536470413
72,536,464,0.464,2.2778064606189727
152,576,424,0.424,2.2774305238723755
112,556,444,0.444,2.276700914859772
126,563,437,0.437,2.276930702447891
108,554,446,0.446,2.2776971127986907
174,587,413,0.413,2.2767685308456422
106,553,447,0.447,2.276193749189377
68,534,466,0.466,2.274895799160004
126,563,437,0.437,2.2744145076274873
70,535,465,0.465,2.274177307128906
74,537,463,0.463,2.274248254299164
142,571,429,0.429,2.2751167871952056
110,555,445,0.445,2.2726818125247954
78,539,461,0.461,2.2729286344051363
106,553,447,0.447,2.2725757710933685
118,559,441,0.441,2.2727840909957884
206,603,397,0.397,2.2722976281642913
122,561,439,0.439,2.2725489661693574
68,534,466,0.466,2.2718069508075716
88,544,456,0.456,2.270518908262253
148,574,426,0.426,2.27082377910614
118,559,441,0.441,2.271278526067734
128,564,436,0.436,2.2708569777011873
138,569,431,0.431,2.26952006316185
160,580,420,0.42,2.2689273202419282
130,565,435,0.435,2.267018133163452
194,597,403,0.403,2.2671395671367645
138,569,431,0.431,2.2678315773010254
188,594,406,0.406,2.2680909469127655
114,557,443,0.443,2.2665281205177306
138,569,431,0.431,2.265777053594589
120,560,440,0.44,2.265629299402237
146,573,427,0.427,2.264791025161743
166,583,417,0.417,2.2646159572601317
130,565,435,0.435,2.2640018863677978
180,590,410,0.41,2.2619297387599944
184,592,408,0.408,2.2623623387813567
148,574,426,0.426,2.262221467256546
162,581,419,0.419,2.262354808330536
136,568,432,0.432,2.2596428174972534
136,568,432,0.432,2.2605218777656555
146,573,427,0.427,2.258901475906372
202,601,399,0.399,2.2578223531246184
134,567,433,0.433,2.257760730743408
150,575,425,0.425,2.2576997327804564
100,550,450,0.45,2.255841465473175
128,564,436,0.436,2.2541447466611864
172,586,414,0.414,2.2555694732666014
134,567,433,0.433,2.2549275124073027
152,576,424,0.424,2.2542495260238646
144,572,428,0.428,2.2520628809928893
200,600,400,0.4,2.251335315823555
118,559,441,0.441,2.2545000650882723
192,596,404,0.404,2.251759508728981
110,555,445,0.445,2.252640333175659
146,573,427,0.427,2.2502291049957277
144,572,428,0.428,2.250606165289879
120,560,440,0.44,2.2503665618896482
176,588,412,0.412,2.2489010753631593
236,618,382,0.382,2.246718267917633
86,543,457,0.457,2.2452096207141876
166,583,417,0.417,2.2453846125602723
182,591,409,0.409,2.2457086743116377
232,616,384,0.384,2.242589661359787
176,588,412,0.412,2.241414505958557
166,583,417,0.417,2.2451310625076295
224,612,388,0.388,2.2396784392595293
176,588,412,0.412,2.237375503540039
184,592,408,0.408,2.2407087117433546
144,572,428,0.428,2.2400109770298005
216,608,392,0.392,2.233582366466522
156,578,422,0.422,2.2366744669675827
164,582,418,0.418,2.235585526108742
146,573,427,0.427,2.237331731438637
214,607,393,0.393,2.231775233387947
144,572,428,0.428,2.2334837639331817
166,583,417,0.417,2.231014625072479
182,591,409,0.409,2.227465128183365
256,628,372,0.372,2.226629621386528
204,602,398,0.398,2.2256253103017807
214,607,393,0.393,2.2264543005228044
186,593,407,0.407,2.2253202238082888
178,589,411,0.411,2.226014523267746
172,586,414,0.414,2.221303819179535
142,571,429,0.429,2.222608453512192
170,585,415,0.415,2.223436463356018
182,591,409,0.409,2.218713834524155
260,630,370,0.37,2.215926382303238
236,618,382,0.382,2.2157406195402145
234,617,383,0.383,2.216225771307945
180,590,410,0.41,2.21446741771698
174,587,413,0.413,2.2121693258285524
194,597,403,0.403,2.210287320137024
200,600,400,0.4,2.2104434967041016
142,571,429,0.429,2.208595616698265
206,603,397,0.397,2.204378969550133
230,615,385,0.385,2.2104258655309676
156,578,422,0.422,2.2035858310461043
194,597,403,0.403,2.2019803488254546
216,608,392,0.392,2.198803246617317
148,574,426,0.426,2.197821079850197
272,636,364,0.364,2.1911510494947435
226,613,387,0.387,2.1976091129779816
210,605,395,0.395,2.1981402724981307
222,611,389,0.389,2.1949149252176285
244,622,378,0.378,2.1923322628736495
210,605,395,0.395,2.186601995110512
232,616,384,0.384,2.1907723133563994
264,632,368,0.368,2.186908996462822
182,591,409,0.409,2.1886159282922746
184,592,408,0.408,2.1845527300834657
300,650,350,0.35,2.177521642208099
222,611,389,0.389,2.1800327404737474
194,597,403,0.403,2.17560682117939
278,639,361,0.361,2.1724484179019927
194,597,403,0.403,2.1741352742910385
230,615,385,0.385,2.165854122161865
276,638,362,0.362,2.1661789029836656
292,646,354,0.354,2.1701413727998733
206,603,397,0.397,2.1627536062002184
262,631,369,0.369,2.1576288957595824
270,635,365,0.365,2.153851558685303
186,593,407,0.407,2.1554976221323012
274,637,363,0.363,2.1561859081983568
310,655,345,0.345,2.155675555348396
346,673,327,0.327,2.141765769958496
264,632,368,0.368,2.147155360817909
282,641,359,0.359,2.1495266779661177
272,636,364,0.364,2.1397816264629363
266,633,367,0.367,2.13940365254879
260,630,370,0.37,2.1357365888357163
276,638,362,0.362,2.131850104570389
302,651,349,0.349,2.1292153722047806
