log_avg_ept_score,log_avg_succ_req,log_avg_blk_req,log_avg_BP_req,log_avg_entropy
748,874,126,0.126,0.6928820634484291
726,863,137,0.137,0.6928841561675072
730,865,135,0.135,0.6928798719644547
696,848,152,0.152,0.6928888494372368
766,883,117,0.117,0.6928639690279961
708,854,146,0.146,0.692861488699913
722,861,139,0.139,0.6928520959615707
746,873,127,0.127,0.6928452506065369
682,841,159,0.159,0.6928369088172912
734,867,133,0.133,0.6928493294715882
640,820,180,0.18,0.6928600371479988
718,859,141,0.141,0.6928650566339493
698,849,151,0.151,0.69279429936409
776,888,112,0.112,0.6923641078174114
756,878,122,0.122,0.6922388479113579
730,865,135,0.135,0.6927022112011909
722,861,139,0.139,0.6925491759777069
786,893,107,0.107,0.692390360236168
742,871,129,0.129,0.6917081654891372
746,873,127,0.127,0.6922685186266899
718,859,141,0.141,0.6918027637600899
694,847,153,0.153,0.6904456814527512
726,863,137,0.137,0.6915167490839959
720,860,140,0.14,0.6912978703975677
712,856,144,0.144,0.6903771998286248
690,845,155,0.155,0.690714266359806
622,811,189,0.189,0.690544973641634
730,865,135,0.135,0.6913954206705093
732,866,134,0.134,0.6891941786408424
770,885,115,0.115,0.6845452823638916
718,859,141,0.141,0.682301411986351
756,878,122,0.122,0.6821481807231903
680,840,160,0.16,0.6757504200339317
746,873,127,0.127,0.6715633501410484
730,865,135,0.135,0.6713829139173031
726,863,137,0.137,0.6666224117130041
778,889,111,0.111,0.6738056793510914
732,866,134,0.134,0.6756675322651863
706,853,147,0.147,0.6759545905590058
768,884,116,0.116,0.6772348285317421
734,867,133,0.133,0.6743058349192143
700,850,150,0.15,0.6719952239692211
730,865,135,0.135,0.6673793144226075
762,881,119,0.119,0.6709366437196732
710,855,145,0.145,0.6585034881234169
752,876,124,0.124,0.6462125972509384
764,882,118,0.118,0.6392884810268878
698,849,151,0.151,0.6357107210755348
720,860,140,0.14,0.6086578060686588
768,884,116,0.116,0.6058536329865456
774,887,113,0.113,0.6018775290548801
738,869,131,0.131,0.6058632162548602
668,834,166,0.166,0.5955719503387809
718,859,141,0.141,0.587010064601916
670,835,165,0.165,0.5835688829123974
744,872,128,0.128,0.5857528064548969
756,878,122,0.122,0.5590914069563151
728,864,136,0.136,0.5432297357916832
738,869,131,0.131,0.5393629735913128
758,879,121,0.121,0.5470526309013367
772,886,114,0.114,0.5190055841505528
740,870,130,0.13,0.5098841465953737
806,903,97,0.097,0.5068818443156778
742,871,129,0.129,0.5028393764346838
748,874,126,0.126,0.4768833110593259
782,891,109,0.109,0.4598964306265116
698,849,151,0.151,0.4593979395478964
778,889,111,0.111,0.45202436569333077
752,876,124,0.124,0.4559097464069871
790,895,105,0.105,0.4508452013732207
716,858,142,0.142,0.4538641460090876
804,902,98,0.098,0.45417495676875114
720,860,140,0.14,0.4460622227489948
764,882,118,0.118,0.439430168569088
738,869,131,0.131,0.4403766971975565
746,873,127,0.127,0.4396733415573835
742,871,129,0.129,0.47790172408521175
764,882,118,0.118,0.5009537465274334
726,863,137,0.137,0.5180335415899754
752,876,124,0.124,0.5224362697196193
770,885,115,0.115,0.5483578833043575
744,872,128,0.128,0.549667462080717
832,916,84,0.084,0.5471286951899529
712,856,144,0.144,0.5521629264056682
844,922,78,0.078,0.5404762672204524
688,844,156,0.156,0.5517051475346089
712,856,144,0.144,0.5574464006945491
764,882,118,0.118,0.5601354296505451
754,877,123,0.123,0.5558342757374048
776,888,112,0.112,0.5488956626057625
768,884,116,0.116,0.5420023924700711
760,880,120,0.12,0.545115383297205
730,865,135,0.135,0.529048061966896
712,856,144,0.144,0.521806532740593
764,882,118,0.118,0.5201111633479595
756,878,122,0.122,0.5124619356092583
796,898,102,0.102,0.49239038974046706
804,902,98,0.098,0.4675681104063988
766,883,117,0.117,0.4408816899061203
780,890,110,0.11,0.4387524279076606
